Infinitive,пролива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пролива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пролива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пролива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пролива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пролива́юсь
2nd Sing,пролива́ешься
3rd Sing,пролива́ется
1st Pl,пролива́емся
2nd Pl,пролива́етесь
3rd Pl,пролива́ются
Past M,пролива́лся
Past F,пролива́лась
Past N,пролива́лось
Past PL,пролива́лись
Imp S,пролива́йся
Imp PL,пролива́йтесь
