Infinitive,прислони́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прислони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прислонённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прислони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прислони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прислоню́
2nd Sing,прислони́шь
3rd Sing,прислони́т
1st Pl,прислони́м
2nd Pl,прислони́те
3rd Pl,прислоня́т
Past M,прислони́л
Past F,прислони́ла
Past N,прислони́ло
Past PL,прислони́ли
Imp S,прислони́
Imp PL,прислони́те
