Infinitive,процеди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,процеди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проце́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,процеди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,процеди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,процежу́
2nd Sing,проце́дишь
3rd Sing,проце́дит
1st Pl,проце́дим
2nd Pl,проце́дите
3rd Pl,проце́дят
Past M,процеди́л
Past F,процеди́ла
Past N,процеди́ло
Past PL,процеди́ли
Imp S,процеди́
Imp PL,процеди́те
