Infinitive,прикла́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прикла́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикла́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикла́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прикла́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикла́дываюсь
2nd Sing,прикла́дываешься
3rd Sing,прикла́дывается
1st Pl,прикла́дываемся
2nd Pl,прикла́дываетесь
3rd Pl,прикла́дываются
Past M,прикла́дывался
Past F,прикла́дывалась
Past N,прикла́дывалось
Past PL,прикла́дывались
Imp S,прикла́дывайся
Imp PL,прикла́дывайтесь
