Infinitive,придави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,придави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прида́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,придави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,придави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,придавлю́
2nd Sing,прида́вишь
3rd Sing,прида́вит
1st Pl,прида́вим
2nd Pl,прида́вите
3rd Pl,прида́вят
Past M,придави́л
Past F,придави́ла
Past N,придави́ло
Past PL,придави́ли
Imp S,придави́
Imp PL,придави́те
