Infinitive,причмо́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,причмо́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,причмо́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,причмо́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,причмо́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,причмо́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,причмо́киваю
2nd Sing,причмо́киваешь
3rd Sing,причмо́кивает
1st Pl,причмо́киваем
2nd Pl,причмо́киваете
3rd Pl,причмо́кивают
Past M,причмо́кивал
Past F,причмо́кивала
Past N,причмо́кивало
Past PL,причмо́кивали
Imp S,причмо́кивай
Imp PL,причмо́кивайте
