Infinitive,прислу́шаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прислу́шавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прислу́шавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прислу́шаюсь
2nd Sing,прислу́шаешься
3rd Sing,прислу́шается
1st Pl,прислу́шаемся
2nd Pl,прислу́шаетесь
3rd Pl,прислу́шаются
Past M,прислу́шался
Past F,прислу́шалась
Past N,прислу́шалось
Past PL,прислу́шались
Imp S,прислу́шайся
Imp PL,прислу́шайтесь
