Infinitive,пристра́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пристра́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристра́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пристра́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пристра́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пристра́иваюсь
2nd Sing,пристра́иваешься
3rd Sing,пристра́ивается
1st Pl,пристра́иваемся
2nd Pl,пристра́иваетесь
3rd Pl,пристра́иваются
Past M,пристра́ивался
Past F,пристра́ивалась
Past N,пристра́ивалось
Past PL,пристра́ивались
Imp S,пристра́ивайся
Imp PL,пристра́ивайтесь
