Infinitive,пригу́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пригу́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригу́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригу́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пригу́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пригу́блю
2nd Sing,пригу́бишь
3rd Sing,пригу́бит
1st Pl,пригу́бим
2nd Pl,пригу́бите
3rd Pl,пригу́бят
Past M,пригу́бил
Past F,пригу́била
Past N,пригу́било
Past PL,пригу́били
Imp S,пригу́бь
Imp PL,пригу́бьте
