Infinitive,просветле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,просветле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просветле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,просветле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,просветле́ю
2nd Sing,просветле́ешь
3rd Sing,просветле́ет
1st Pl,просветле́ем
2nd Pl,просветле́ете
3rd Pl,просветле́ют
Past M,просветле́л
Past F,просветле́ла
Past N,просветле́ло
Past PL,просветле́ли
Imp S,просветле́й
Imp PL,просветле́йте
