Infinitive,пресмыка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пресмыка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пресмыка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пресмыка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пресмыка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пресмыка́юсь
2nd Sing,пресмыка́ешься
3rd Sing,пресмыка́ется
1st Pl,пресмыка́емся
2nd Pl,пресмыка́етесь
3rd Pl,пресмыка́ются
Past M,пресмыка́лся
Past F,пресмыка́лась
Past N,пресмыка́лось
Past PL,пресмыка́лись
Imp S,пресмыка́йся
Imp PL,пресмыка́йтесь
