Infinitive,предупреди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предупреди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предупреждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предупреди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предупреди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предупрежу́
2nd Sing,предупреди́шь
3rd Sing,предупреди́т
1st Pl,предупреди́м
2nd Pl,предупреди́те
3rd Pl,предупредя́т
Past M,предупреди́л
Past F,предупреди́ла
Past N,предупреди́ло
Past PL,предупреди́ли
Imp S,предупреди́
Imp PL,предупреди́те
