Infinitive,прислу́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прислу́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прислу́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прислу́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прислу́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прислу́шиваюсь
2nd Sing,прислу́шиваешься
3rd Sing,прислу́шивается
1st Pl,прислу́шиваемся
2nd Pl,прислу́шиваетесь
3rd Pl,прислу́шиваются
Past M,прислу́шивался
Past F,прислу́шивалась
Past N,прислу́шивалось
Past PL,прислу́шивались
Imp S,прислу́шивайся
Imp PL,прислу́шивайтесь
