Infinitive,прибере́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приберёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прибережённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приберёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,приберегу́
2nd Sing,прибережёшь
3rd Sing,прибережёт
1st Pl,прибережём
2nd Pl,прибережёте
3rd Pl,приберегу́т
Past M,приберёг
Past F,приберегла́
Past N,приберегло́
Past PL,приберегли́
Imp S,прибереги́
Imp PL,прибереги́те
