Infinitive,превы́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,превы́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,превы́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,превы́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,превы́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,превы́шу
2nd Sing,превы́сишь
3rd Sing,превы́сит
1st Pl,превы́сим
2nd Pl,превы́сите
3rd Pl,превы́сят
Past M,превы́сил
Past F,превы́сила
Past N,превы́сило
Past PL,превы́сили
Imp S,превы́сь
Imp PL,превы́сьте
