Infinitive,прошелесте́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прошелесте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прошелесте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прошелесте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
2nd Sing,прошелести́шь
3rd Sing,прошелести́т
1st Pl,прошелести́м
2nd Pl,прошелести́те
3rd Pl,прошелестя́т
Past M,прошелесте́л
Past F,прошелесте́ла
Past N,прошелесте́ло
Past PL,прошелесте́ли
Imp S,прошелести́
Imp PL,прошелести́те
