Infinitive,проголода́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проголода́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проголода́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проголода́юсь
2nd Sing,проголода́ешься
3rd Sing,проголода́ется
1st Pl,проголода́емся
2nd Pl,проголода́етесь
3rd Pl,проголода́ются
Past M,проголода́лся
Past F,проголода́лась
Past N,проголода́лось
Past PL,проголода́лись
Imp S,проголода́йся
Imp PL,проголода́йтесь
