Infinitive,прилепи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прилепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прилепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прилеплю́сь
2nd Sing,приле́пишься
3rd Sing,приле́пится
1st Pl,приле́пимся
2nd Pl,приле́питесь
3rd Pl,приле́пятся
Past M,прилепи́лся
Past F,прилепи́лась
Past N,прилепи́лось
Past PL,прилепи́лись
Imp S,прилепи́сь
Imp PL,прилепи́тесь
