Infinitive,предохраня́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предохраня́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предохраня́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предохраня́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предохраня́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,предохраня́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,предохраня́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,предохраня́ю
2nd Sing,предохраня́ешь
3rd Sing,предохраня́ет
1st Pl,предохраня́ем
2nd Pl,предохраня́ете
3rd Pl,предохраня́ют
Past M,предохраня́л
Past F,предохраня́ла
Past N,предохраня́ло
Past PL,предохраня́ли
Imp S,предохраня́й
Imp PL,предохраня́йте
