Infinitive,просро́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просро́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просро́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просро́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просро́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просро́чу
2nd Sing,просро́чишь
3rd Sing,просро́чит
1st Pl,просро́чим
2nd Pl,просро́чите
3rd Pl,просро́чат
Past M,просро́чил
Past F,просро́чила
Past N,просро́чило
Past PL,просро́чили
Imp S,просро́чь
Imp PL,просро́чьте
