Infinitive,прома́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прома́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прома́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прома́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прома́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прома́жу
2nd Sing,прома́жешь
3rd Sing,прома́жет
1st Pl,прома́жем
2nd Pl,прома́жете
3rd Pl,прома́жут
Past M,прома́зал
Past F,прома́зала
Past N,прома́зало
Past PL,прома́зали
Imp S,прома́жь
Imp PL,прома́жьте
