Infinitive,приподня́ться
Zaliznyak Class,14c/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приподня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приподня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приподниму́сь
2nd Sing,приподни́мешься
3rd Sing,приподни́мется
1st Pl,приподни́мемся
2nd Pl,приподни́метесь
3rd Pl,приподни́мутся
Past M,приподня́лся
Past F,приподняла́сь
Past N,приподняло́сь
Past PL,приподняли́сь
Imp S,приподними́сь
Imp PL,приподними́тесь
