Infinitive,проста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проста́влю
2nd Sing,проста́вишь
3rd Sing,проста́вит
1st Pl,проста́вим
2nd Pl,проста́вите
3rd Pl,проста́вят
Past M,проста́вил
Past F,проста́вила
Past N,проста́вило
Past PL,проста́вили
Imp S,проста́вь
Imp PL,проста́вьте
