Infinitive,пропада́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пропада́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропада́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пропада́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пропада́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пропада́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пропада́ю
2nd Sing,пропада́ешь
3rd Sing,пропада́ет
1st Pl,пропада́ем
2nd Pl,пропада́ете
3rd Pl,пропада́ют
Past M,пропада́л
Past F,пропада́ла
Past N,пропада́ло
Past PL,пропада́ли
Imp S,пропада́й
Imp PL,пропада́йте
