Infinitive,придти́△
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прише́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,придя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прише́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,приду́
2nd Sing,придёшь
3rd Sing,придёт
1st Pl,придём
2nd Pl,придёте
3rd Pl,приду́т
Past M,пришёл
Past F,пришла́
Past N,пришло́
Past PL,пришли́
Imp S,приди́
Imp PL,приди́те
