Infinitive,пришвартова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пришвартова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пришвартова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пришварту́юсь
2nd Sing,пришварту́ешься
3rd Sing,пришварту́ется
1st Pl,пришварту́емся
2nd Pl,пришварту́етесь
3rd Pl,пришварту́ются
Past M,пришвартова́лся
Past F,пришвартова́лась
Past N,пришвартова́лось
Past PL,пришвартова́лись
Imp S,пришварту́йся
Imp PL,пришварту́йтесь
