Infinitive,притра́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,притра́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,притра́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,притра́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,притра́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,притра́гиваюсь
2nd Sing,притра́гиваешься
3rd Sing,притра́гивается
1st Pl,притра́гиваемся
2nd Pl,притра́гиваетесь
3rd Pl,притра́гиваются
Past M,притра́гивался
Past F,притра́гивалась
Past N,притра́гивалось
Past PL,притра́гивались
Imp S,притра́гивайся
Imp PL,притра́гивайтесь
