Infinitive,предписа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предписа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предпи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предписа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предписа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предпишу́
2nd Sing,предпи́шешь
3rd Sing,предпи́шет
1st Pl,предпи́шем
2nd Pl,предпи́шете
3rd Pl,предпи́шут
Past M,предписа́л
Past F,предписа́ла
Past N,предписа́ло
Past PL,предписа́ли
Imp S,предпиши́
Imp PL,предпиши́те
