Infinitive,прозре́ть
Zaliznyak Class,5b // 1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прозре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прозре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прозре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прозрю́
2nd Sing,прозри́шь
3rd Sing,прозри́т
1st Pl,прозри́м
2nd Pl,прозри́те
3rd Pl,прозря́т
Past M,прозре́л
Past F,прозре́ла
Past N,прозре́ло
Past PL,прозре́ли
Imp S,прозри́
Imp PL,прозри́те
