Infinitive,прожи́ть
Zaliznyak Class,16b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прожи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́житый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прожи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,прожи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прожи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,проживу́
2nd Sing,проживёшь
3rd Sing,проживёт
1st Pl,проживём
2nd Pl,проживёте
3rd Pl,проживу́т
Past M,про́жил
Past F,прожила́
Past N,про́жило
Past PL,про́жили
Imp S,проживи́
Imp PL,проживи́те
