Infinitive,пристегну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пристегну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристёгнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пристегну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пристегну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пристегну́
2nd Sing,пристегнёшь
3rd Sing,пристегнёт
1st Pl,пристегнём
2nd Pl,пристегнёте
3rd Pl,пристегну́т
Past M,пристегну́л
Past F,пристегну́ла
Past N,пристегну́ло
Past PL,пристегну́ли
Imp S,пристегни́
Imp PL,пристегни́те
