Infinitive,прослужи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прослужи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прослу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прослужи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прослужи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прослужу́
2nd Sing,прослу́жишь
3rd Sing,прослу́жит
1st Pl,прослу́жим
2nd Pl,прослу́жите
3rd Pl,прослу́жат
Past M,прослужи́л
Past F,прослужи́ла
Past N,прослужи́ло
Past PL,прослужи́ли
Imp S,прослужи́
Imp PL,прослужи́те
