Infinitive,приме́рять
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приме́рявший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приме́рянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приме́ряв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приме́рявши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приме́ряю
2nd Sing,приме́ряешь
3rd Sing,приме́ряет
1st Pl,приме́ряем
2nd Pl,приме́ряете
3rd Pl,приме́ряют
Past M,приме́рял
Past F,приме́ряла
Past N,приме́ряло
Past PL,приме́ряли
Imp S,приме́ряй
Imp PL,приме́ряйте
