Infinitive,пристро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пристро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пристро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пристро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пристро́ю
2nd Sing,пристро́ишь
3rd Sing,пристро́ит
1st Pl,пристро́им
2nd Pl,пристро́ите
3rd Pl,пристро́ят
Past M,пристро́ил
Past F,пристро́ила
Past N,пристро́ило
Past PL,пристро́или
Imp S,пристро́й
Imp PL,пристро́йте
