Infinitive,промы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,промы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,промы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,промы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,промо́ю
2nd Sing,промо́ешь
3rd Sing,промо́ет
1st Pl,промо́ем
2nd Pl,промо́ете
3rd Pl,промо́ют
Past M,промы́л
Past F,промы́ла
Past N,промы́ло
Past PL,промы́ли
Imp S,промо́й
Imp PL,промо́йте
