Infinitive,проска́льзывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проска́льзывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проска́льзывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проска́льзывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проска́льзывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,проска́льзывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,проска́льзываю
2nd Sing,проска́льзываешь
3rd Sing,проска́льзывает
1st Pl,проска́льзываем
2nd Pl,проска́льзываете
3rd Pl,проска́льзывают
Past M,проска́льзывал
Past F,проска́льзывала
Past N,проска́льзывало
Past PL,проска́льзывали
Imp S,проска́льзывай
Imp PL,проска́льзывайте
