Infinitive,пробурча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пробурча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробурча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пробурча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пробурчу́
2nd Sing,пробурчи́шь
3rd Sing,пробурчи́т
1st Pl,пробурчи́м
2nd Pl,пробурчи́те
3rd Pl,пробурча́т
Past M,пробурча́л
Past F,пробурча́ла
Past N,пробурча́ло
Past PL,пробурча́ли
Imp S,пробурчи́
Imp PL,пробурчи́те
