Infinitive,пристро́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пристро́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристро́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пристро́юсь
2nd Sing,пристро́ишься
3rd Sing,пристро́ится
1st Pl,пристро́имся
2nd Pl,пристро́итесь
3rd Pl,пристро́ятся
Past M,пристро́ился
Past F,пристро́илась
Past N,пристро́илось
Past PL,пристро́ились
Imp S,пристро́йся
Imp PL,пристро́йтесь
