Infinitive,присоедини́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,присоедини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присоединённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присоедини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,присоедини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,присоединю́
2nd Sing,присоедини́шь
3rd Sing,присоедини́т
1st Pl,присоедини́м
2nd Pl,присоедини́те
3rd Pl,присоединя́т
Past M,присоедини́л
Past F,присоедини́ла
Past N,присоедини́ло
Past PL,присоедини́ли
Imp S,присоедини́
Imp PL,присоедини́те
