Infinitive,прогиба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прогиба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогиба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прогиба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прогиба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прогиба́юсь
2nd Sing,прогиба́ешься
3rd Sing,прогиба́ется
1st Pl,прогиба́емся
2nd Pl,прогиба́етесь
3rd Pl,прогиба́ются
Past M,прогиба́лся
Past F,прогиба́лась
Past N,прогиба́лось
Past PL,прогиба́лись
Imp S,прогиба́йся
Imp PL,прогиба́йтесь
