Infinitive,проистека́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проистека́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проистека́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проистека́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проистека́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,проистека́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,проистека́ю
2nd Sing,проистека́ешь
3rd Sing,проистека́ет
1st Pl,проистека́ем
2nd Pl,проистека́ете
3rd Pl,проистека́ют
Past M,проистека́л
Past F,проистека́ла
Past N,проистека́ло
Past PL,проистека́ли
Imp S,проистека́й
Imp PL,проистека́йте
