Infinitive,прозвене́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прозвене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прозвене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прозвене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прозвеню́
2nd Sing,прозвени́шь
3rd Sing,прозвени́т
1st Pl,прозвени́м
2nd Pl,прозвени́те
3rd Pl,прозвеня́т
Past M,прозвене́л
Past F,прозвене́ла
Past N,прозвене́ло
Past PL,прозвене́ли
Imp S,прозвени́
Imp PL,прозвени́те
