Infinitive,прокури́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прокури́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проку́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прокури́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прокури́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прокурю́
2nd Sing,проку́ришь
3rd Sing,проку́рит
1st Pl,проку́рим
2nd Pl,проку́рите
3rd Pl,проку́рят
Past M,прокури́л
Past F,прокури́ла
Past N,прокури́ло
Past PL,прокури́ли
Imp S,прокури́
Imp PL,прокури́те
