Infinitive,презре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,презре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,презре́нный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,презре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,презре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,презрю́
2nd Sing,презри́шь
3rd Sing,презри́т
1st Pl,презри́м
2nd Pl,презри́те
3rd Pl,презря́т
Past M,презре́л
Past F,презре́ла
Past N,презре́ло
Past PL,презре́ли
Imp S,презри́
Imp PL,презри́те
