Infinitive,прискака́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прискака́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прискака́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прискака́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прискачу́
2nd Sing,приска́чешь
3rd Sing,приска́чет
1st Pl,приска́чем
2nd Pl,приска́чете
3rd Pl,приска́чут
Past M,прискака́л
Past F,прискака́ла
Past N,прискака́ло
Past PL,прискака́ли
Imp S,прискачи́
Imp PL,прискачи́те
