Infinitive,предполага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предполага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предполага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предполага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предполага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предполага́юсь
2nd Sing,предполага́ешься
3rd Sing,предполага́ется
1st Pl,предполага́емся
2nd Pl,предполага́етесь
3rd Pl,предполага́ются
Past M,предполага́лся
Past F,предполага́лась
Past N,предполага́лось
Past PL,предполага́лись
Imp S,предполага́йся
Imp PL,предполага́йтесь
