Infinitive,продли́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,продлю́сь
2nd Sing,продли́шься
3rd Sing,продли́тся
1st Pl,продли́мся
2nd Pl,продли́тесь
3rd Pl,продля́тся
Past M,продли́лся
Past F,продли́лась
Past N,продли́лось
Past PL,продли́лись
Imp S,продли́сь
Imp PL,продли́тесь
