Infinitive,проню́хать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проню́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проню́ханный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проню́хав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проню́хавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проню́хаю
2nd Sing,проню́хаешь
3rd Sing,проню́хает
1st Pl,проню́хаем
2nd Pl,проню́хаете
3rd Pl,проню́хают
Past M,проню́хал
Past F,проню́хала
Past N,проню́хало
Past PL,проню́хали
Imp S,проню́хай
Imp PL,проню́хайте
