Infinitive,прореза́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прореза́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прореза́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прореза́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прореза́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прореза́юсь
2nd Sing,прореза́ешься
3rd Sing,прореза́ется
1st Pl,прореза́емся
2nd Pl,прореза́етесь
3rd Pl,прореза́ются
Past M,прореза́лся
Past F,прореза́лась
Past N,прореза́лось
Past PL,прореза́лись
Imp S,прореза́йся
Imp PL,прореза́йтесь
