Infinitive,прича́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прича́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прича́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прича́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прича́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прича́лю
2nd Sing,прича́лишь
3rd Sing,прича́лит
1st Pl,прича́лим
2nd Pl,прича́лите
3rd Pl,прича́лят
Past M,прича́лил
Past F,прича́лила
Past N,прича́лило
Past PL,прича́лили
Imp S,прича́ль
Imp PL,прича́льте
