Infinitive,прогреме́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прогреме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогреме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прогреме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прогремлю́
2nd Sing,прогреми́шь
3rd Sing,прогреми́т
1st Pl,прогреми́м
2nd Pl,прогреми́те
3rd Pl,прогремя́т
Past M,прогреме́л
Past F,прогреме́ла
Past N,прогреме́ло
Past PL,прогреме́ли
Imp S,прогреми́
Imp PL,прогреми́те
