Infinitive,проворча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проворча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проворча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,проворча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,проворчу́
2nd Sing,проворчи́шь
3rd Sing,проворчи́т
1st Pl,проворчи́м
2nd Pl,проворчи́те
3rd Pl,проворча́т
Past M,проворча́л
Past F,проворча́ла
Past N,проворча́ло
Past PL,проворча́ли
Imp S,проворчи́
Imp PL,проворчи́те
