Infinitive,прослу́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прослу́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прослу́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прослу́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прослу́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,прослу́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,прослу́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,прослу́шиваю
2nd Sing,прослу́шиваешь
3rd Sing,прослу́шивает
1st Pl,прослу́шиваем
2nd Pl,прослу́шиваете
3rd Pl,прослу́шивают
Past M,прослу́шивал
Past F,прослу́шивала
Past N,прослу́шивало
Past PL,прослу́шивали
Imp S,прослу́шивай
Imp PL,прослу́шивайте
