Infinitive,прилете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прилете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прилете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прилете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прилечу́
2nd Sing,прилети́шь
3rd Sing,прилети́т
1st Pl,прилети́м
2nd Pl,прилети́те
3rd Pl,прилетя́т
Past M,прилете́л
Past F,прилете́ла
Past N,прилете́ло
Past PL,прилете́ли
Imp S,прилети́
Imp PL,прилети́те
