Infinitive,прошага́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прошага́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проша́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прошага́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прошага́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прошага́ю
2nd Sing,прошага́ешь
3rd Sing,прошага́ет
1st Pl,прошага́ем
2nd Pl,прошага́ете
3rd Pl,прошага́ют
Past M,прошага́л
Past F,прошага́ла
Past N,прошага́ло
Past PL,прошага́ли
Imp S,прошага́й
Imp PL,прошага́йте
