Infinitive,прилега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прилега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прилега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прилега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прилега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прилега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прилега́ю
2nd Sing,прилега́ешь
3rd Sing,прилега́ет
1st Pl,прилега́ем
2nd Pl,прилега́ете
3rd Pl,прилега́ют
Past M,прилега́л
Past F,прилега́ла
Past N,прилега́ло
Past PL,прилега́ли
Imp S,прилега́й
Imp PL,прилега́йте
