Infinitive,проясни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проясни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прояснённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проясни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проясни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проясню́
2nd Sing,проясни́шь
3rd Sing,проясни́т
1st Pl,проясни́м
2nd Pl,проясни́те
3rd Pl,проясня́т
Past M,проясни́л
Past F,проясни́ла
Past N,проясни́ло
Past PL,проясни́ли
Imp S,проясни́
Imp PL,проясни́те
