Infinitive,присви́стнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,присви́стнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присви́стнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,присви́стнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,присви́стну
2nd Sing,присви́стнешь
3rd Sing,присви́стнет
1st Pl,присви́стнем
2nd Pl,присви́стнете
3rd Pl,присви́стнут
Past M,присви́стнул
Past F,присви́стнула
Past N,присви́стнуло
Past PL,присви́стнули
Imp S,присви́стни
Imp PL,присви́стните
