Infinitive,проже́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прожёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прожжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прожёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прожгу́
2nd Sing,прожжёшь
3rd Sing,прожжёт
1st Pl,прожжём
2nd Pl,прожжёте
3rd Pl,прожгу́т
Past M,прожёг
Past F,прожгла́
Past N,прожгло́
Past PL,прожгли́
Imp S,прожги́
Imp PL,прожги́те
