Infinitive,предста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,предста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,предста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,предста́ну
2nd Sing,предста́нешь
3rd Sing,предста́нет
1st Pl,предста́нем
2nd Pl,предста́нете
3rd Pl,предста́нут
Past M,предста́л
Past F,предста́ла
Past N,предста́ло
Past PL,предста́ли
Imp S,предста́нь
Imp PL,предста́ньте
