Infinitive,пролега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пролега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пролега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пролега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пролега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пролега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пролега́ю
2nd Sing,пролега́ешь
3rd Sing,пролега́ет
1st Pl,пролега́ем
2nd Pl,пролега́ете
3rd Pl,пролега́ют
Past M,пролега́л
Past F,пролега́ла
Past N,пролега́ло
Past PL,пролега́ли
Imp S,пролега́й
Imp PL,пролега́йте
