Infinitive,привяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,привяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,привя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,привяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,привяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,привяжу́
2nd Sing,привя́жешь
3rd Sing,привя́жет
1st Pl,привя́жем
2nd Pl,привя́жете
3rd Pl,привя́жут
Past M,привяза́л
Past F,привяза́ла
Past N,привяза́ло
Past PL,привяза́ли
Imp S,привяжи́
Imp PL,привяжи́те
