Infinitive,пригну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пригну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,при́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пригну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пригну́
2nd Sing,пригнёшь
3rd Sing,пригнёт
1st Pl,пригнём
2nd Pl,пригнёте
3rd Pl,пригну́т
Past M,пригну́л
Past F,пригну́ла
Past N,пригну́ло
Past PL,пригну́ли
Imp S,пригни́
Imp PL,пригни́те
