Infinitive,проли́ться
Zaliznyak Class,11b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пролью́сь
2nd Sing,прольёшься
3rd Sing,прольётся
1st Pl,прольёмся
2nd Pl,прольётесь
3rd Pl,пролью́тся
Past M,проли́лся
Past F,пролила́сь
Past N,пролило́сь
Past PL,пролили́сь
Imp S,проле́йся
Imp PL,проле́йтесь
